Date,Day of Week
9/29/21,Wednesday
9/30/21,Thursday
10/1/21,Friday
10/2/21,Saturday
10/3/21,Sunday
10/4/21,Monday
10/5/21,Tuesday
10/6/21,Wednesday
10/7/21,Thursday
10/8/21,Friday
10/9/21,Saturday
10/10/21,Sunday
10/11/21,Monday
10/12/21,Tuesday
10/13/21,Wednesday
10/14/21,Thursday
10/15/21,Friday
10/16/21,Saturday
10/17/21,Sunday
10/18/21,Monday
10/19/21,Tuesday
10/20/21,Wednesday
10/21/21,Thursday
10/22/21,Friday
10/23/21,Saturday
10/24/21,Sunday
10/25/21,Monday
10/26/21,Tuesday
10/27/21,Wednesday
10/28/21,Thursday
10/29/21,Friday
10/30/21,Saturday
10/31/21,Sunday
11/1/21,Monday
11/2/21,Tuesday
11/3/21,Wednesday
11/4/21,Thursday
11/5/21,Friday
11/6/21,Saturday
11/7/21,Sunday
11/8/21,Monday
11/9/21,Tuesday
11/10/21,Wednesday
11/11/21,Thursday
11/12/21,Friday
11/13/21,Saturday
11/14/21,Sunday
11/15/21,Monday
11/16/21,Tuesday
11/17/21,Wednesday
11/18/21,Thursday
11/19/21,Friday
11/20/21,Saturday
11/21/21,Sunday
11/22/21,Monday
11/23/21,Tuesday
11/24/21,Wednesday
11/25/21,Thursday
11/26/21,Friday
11/27/21,Saturday
11/28/21,Sunday
11/29/21,Monday
11/30/21,Tuesday
12/1/21,Wednesday
12/2/21,Thursday
12/3/21,Friday
12/4/21,Saturday
12/5/21,Sunday
12/6/21,Monday
12/7/21,Tuesday
12/8/21,Wednesday
12/9/21,Thursday
12/10/21,Friday
12/11/21,Saturday
12/12/21,Sunday
12/13/21,Monday
12/14/21,Tuesday
12/15/21,Wednesday
12/16/21,Thursday
12/17/21,Friday
12/18/21,Saturday
12/19/21,Sunday
12/20/21,Monday
12/21/21,Tuesday
12/22/21,Wednesday
12/23/21,Thursday
12/24/21,Friday
12/25/21,Saturday
12/26/21,Sunday
12/27/21,Monday
12/28/21,Tuesday
12/29/21,Wednesday
12/30/21,Thursday
12/31/21,Friday
1/1/22,Saturday
1/2/22,Sunday
1/3/22,Monday
1/4/22,Tuesday
1/5/22,Wednesday
1/6/22,Thursday
1/7/22,Friday
1/8/22,Saturday
1/9/22,Sunday
1/10/22,Monday
1/11/22,Tuesday
1/12/22,Wednesday
1/13/22,Thursday
1/14/22,Friday
1/15/22,Saturday
1/16/22,Sunday
1/17/22,Monday
1/18/22,Tuesday
1/19/22,Wednesday
1/20/22,Thursday
1/21/22,Friday
1/22/22,Saturday
1/23/22,Sunday
1/24/22,Monday
1/25/22,Tuesday
1/26/22,Wednesday
1/27/22,Thursday
1/28/22,Friday
1/29/22,Saturday
1/30/22,Sunday
1/31/22,Monday
2/1/22,Tuesday
2/2/22,Wednesday
2/3/22,Thursday
2/4/22,Friday
2/5/22,Saturday
2/6/22,Sunday
2/7/22,Monday
2/8/22,Tuesday
2/9/22,Wednesday
2/10/22,Thursday
2/11/22,Friday
2/12/22,Saturday
2/13/22,Sunday
2/14/22,Monday
2/15/22,Tuesday
2/16/22,Wednesday
2/17/22,Thursday
2/18/22,Friday
2/19/22,Saturday
2/20/22,Sunday
2/21/22,Monday
2/22/22,Tuesday
2/23/22,Wednesday
2/24/22,Thursday
2/25/22,Friday
2/26/22,Saturday
2/27/22,Sunday
2/28/22,Monday
3/1/22,Tuesday
3/2/22,Wednesday
3/3/22,Thursday
3/4/22,Friday
3/5/22,Saturday
3/6/22,Sunday
3/7/22,Monday
3/8/22,Tuesday
3/9/22,Wednesday
3/10/22,Thursday
3/11/22,Friday
3/12/22,Saturday
3/13/22,Sunday
3/14/22,Monday
3/15/22,Tuesday
3/16/22,Wednesday
3/17/22,Thursday
3/18/22,Friday
3/19/22,Saturday
3/20/22,Sunday
3/21/22,Monday
3/22/22,Tuesday
3/23/22,Wednesday
3/24/22,Thursday
3/25/22,Friday
3/26/22,Saturday
3/27/22,Sunday
3/28/22,Monday
3/29/22,Tuesday
3/30/22,Wednesday
3/31/22,Thursday
4/1/22,Friday
4/2/22,Saturday
4/3/22,Sunday
4/4/22,Monday
4/5/22,Tuesday
4/6/22,Wednesday
4/7/22,Thursday
4/8/22,Friday
4/9/22,Saturday
4/10/22,Sunday
4/11/22,Monday
4/12/22,Tuesday
4/13/22,Wednesday
4/14/22,Thursday
4/15/22,Friday
4/16/22,Saturday
4/17/22,Sunday
4/18/22,Monday
4/19/22,Tuesday
4/20/22,Wednesday
4/21/22,Thursday
4/22/22,Friday
4/23/22,Saturday
4/24/22,Sunday
4/25/22,Monday
4/26/22,Tuesday
4/27/22,Wednesday
4/28/22,Thursday
4/29/22,Friday
4/30/22,Saturday
5/1/22,Sunday
5/2/22,Monday
5/3/22,Tuesday
5/4/22,Wednesday
5/5/22,Thursday
5/6/22,Friday
5/7/22,Saturday
5/8/22,Sunday
5/9/22,Monday
5/10/22,Tuesday
5/11/22,Wednesday
5/12/22,Thursday
5/13/22,Friday
5/14/22,Saturday
5/15/22,Sunday
5/16/22,Monday
5/17/22,Tuesday
5/18/22,Wednesday
5/19/22,Thursday
5/20/22,Friday
5/21/22,Saturday
5/22/22,Sunday
5/23/22,Monday
5/24/22,Tuesday
5/25/22,Wednesday
5/26/22,Thursday
5/27/22,Friday
5/28/22,Saturday
5/29/22,Sunday
5/30/22,Monday
5/31/22,Tuesday
6/1/22,Wednesday
6/2/22,Thursday
6/3/22,Friday
6/4/22,Saturday
6/5/22,Sunday
6/6/22,Monday
6/7/22,Tuesday
6/8/22,Wednesday
6/9/22,Thursday
6/10/22,Friday
6/11/22,Saturday
6/12/22,Sunday
6/13/22,Monday
6/14/22,Tuesday
6/15/22,Wednesday
6/16/22,Thursday
6/17/22,Friday
6/18/22,Saturday
6/19/22,Sunday
6/20/22,Monday
6/21/22,Tuesday
6/22/22,Wednesday
6/23/22,Thursday
6/24/22,Friday
6/25/22,Saturday
6/26/22,Sunday
6/27/22,Monday
6/28/22,Tuesday
6/29/22,Wednesday
6/30/22,Thursday
7/1/22,Friday
7/2/22,Saturday
7/3/22,Sunday
7/4/22,Monday
7/5/22,Tuesday
7/6/22,Wednesday
7/7/22,Thursday
7/8/22,Friday
7/9/22,Saturday
7/10/22,Sunday
7/11/22,Monday
7/12/22,Tuesday
7/13/22,Wednesday
7/14/22,Thursday
7/15/22,Friday
7/16/22,Saturday
7/17/22,Sunday
7/18/22,Monday
7/19/22,Tuesday
7/20/22,Wednesday
7/21/22,Thursday
7/22/22,Friday
7/23/22,Saturday
7/24/22,Sunday
7/25/22,Monday
7/26/22,Tuesday
7/27/22,Wednesday
7/28/22,Thursday
7/29/22,Friday
7/30/22,Saturday
7/31/22,Sunday
8/1/22,Monday
8/2/22,Tuesday
8/3/22,Wednesday
8/4/22,Thursday
8/5/22,Friday
8/6/22,Saturday
8/7/22,Sunday
8/8/22,Monday
8/9/22,Tuesday
8/10/22,Wednesday
8/11/22,Thursday
8/12/22,Friday
8/13/22,Saturday
8/14/22,Sunday
8/15/22,Monday
8/16/22,Tuesday
8/17/22,Wednesday
8/18/22,Thursday
8/19/22,Friday
8/20/22,Saturday
8/21/22,Sunday
8/22/22,Monday
8/23/22,Tuesday
8/24/22,Wednesday
8/25/22,Thursday
8/26/22,Friday
8/27/22,Saturday
8/28/22,Sunday
8/29/22,Monday
8/30/22,Tuesday
8/31/22,Wednesday
9/1/22,Thursday
9/2/22,Friday
9/3/22,Saturday
9/4/22,Sunday
9/5/22,Monday
9/6/22,Tuesday
9/7/22,Wednesday
9/8/22,Thursday
9/9/22,Friday
9/10/22,Saturday
9/11/22,Sunday
9/12/22,Monday
9/13/22,Tuesday
9/14/22,Wednesday
9/15/22,Thursday
9/16/22,Friday
9/17/22,Saturday
9/18/22,Sunday
9/19/22,Monday
9/20/22,Tuesday
9/21/22,Wednesday
9/22/22,Thursday
9/23/22,Friday
9/24/22,Saturday
9/25/22,Sunday
9/26/22,Monday
9/27/22,Tuesday
9/28/22,Wednesday