date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-10-23,51.6,50.0,54.0,0.579,,137.0,8.2,,1005.1,
2021-10-24,52.5,50.0,55.9,0.732,,139.0,10.4,,988.3,
2021-10-25,52.2,50.0,54.0,0.217,,175.0,16.1,,999.3,
2021-10-26,51.8,48.9,55.9,0.343,,180.0,10.9,,1010.0,
2021-10-27,52.3,48.9,55.9,0.094,,157.0,4.9,,1023.2,
2021-10-28,60.4,52.0,66.0,0.071,,176.0,9.9,,1018.2,
2021-10-29,51.4,39.9,60.1,0.429,,326.0,6.4,,1018.4,
2021-10-30,49.3,37.9,59.0,0.0,,47.0,10.8,,1016.8,
2021-10-31,53.6,48.9,61.0,0.0,,82.0,11.9,,1014.9,
2021-11-01,48.9,46.9,53.1,0.283,,44.0,6.0,,1014.4,
2021-11-02,48.4,45.0,51.1,0.122,,348.0,1.5,,1021.2,
2021-11-03,50.0,44.1,55.9,0.256,,338.0,2.1,,1015.2,
2021-11-04,52.9,48.0,57.9,0.374,,163.0,9.6,,1009.7,
2021-11-05,49.3,43.0,55.0,0.083,,164.0,7.0,,1014.6,
2021-11-06,45.9,42.1,50.0,0.488,,172.0,9.3,,1015.1,
2021-11-07,43.5,39.9,46.9,0.193,,170.0,8.1,,1020.5,
2021-11-08,46.0,34.0,55.0,0.071,,69.0,5.4,,1013.0,
2021-11-09,47.8,44.1,53.1,0.449,,206.0,7.5,,1013.0,
2021-11-10,46.2,39.9,52.0,0.217,,353.0,1.6,,1025.0,
2021-11-11,55.8,48.9,60.1,1.248,,150.0,6.2,,1021.3,
2021-11-12,58.1,48.9,60.1,1.232,,164.0,5.7,,1022.5,
2021-11-13,48.7,39.9,57.9,0.0,,63.0,3.4,,1024.3,
2021-11-14,60.1,57.9,63.0,0.0,,184.0,11.4,,1018.6,
2021-11-15,51.6,39.0,57.9,0.307,,204.0,11.1,,1014.1,
2021-11-16,39.9,35.1,50.0,0.012,,333.0,2.5,,1029.5,
2021-11-17,41.7,28.9,51.1,0.0,,48.0,8.1,,1023.0,
2021-11-18,43.5,39.9,46.9,0.323,,28.0,3.0,,1012.4,
2021-11-19,47.1,41.0,51.1,0.102,,323.0,5.8,,1020.9,
2021-11-20,42.8,32.0,50.0,0.0,,355.0,1.5,,1032.6,
2021-11-21,34.2,27.0,46.0,0.0,,350.0,1.1,,1028.5,
2021-11-22,36.7,33.1,39.9,0.209,,334.0,2.9,,1020.5,
2021-11-23,41.9,30.9,48.9,0.138,,335.0,3.1,,1020.5,
2021-11-24,37.6,30.9,43.0,0.0,,345.0,1.2,,1029.9,
2021-11-25,44.4,37.9,51.1,0.114,,10.0,2.2,,1025.6,
2021-11-26,48.0,46.0,50.0,0.075,,0.0,3.7,,1023.8,
2021-11-27,53.2,48.0,59.0,0.268,,52.0,3.5,,1019.6,
2021-11-28,56.7,48.0,60.1,0.004,,176.0,7.1,,1021.8,
2021-11-29,52.9,48.9,55.9,0.264,,19.0,1.8,,1024.4,
2021-11-30,53.1,48.0,57.9,0.012,,141.0,3.8,,1025.1,
2021-12-01,47.8,41.0,52.0,0.0,,352.0,1.1,,1023.3,
2021-12-02,46.9,39.0,52.0,0.0,,330.0,4.2,,1025.6,
2021-12-03,37.6,30.0,48.0,0.0,,354.0,1.4,,1023.4,
2021-12-04,42.1,32.0,48.9,0.157,,311.0,7.7,,1020.9,
2021-12-05,36.9,28.0,44.1,0.0,,351.0,1.9,,1031.9,
2021-12-06,41.9,37.9,45.0,0.461,,0.0,2.2,,1019.2,
2021-12-07,47.8,45.0,51.1,0.035,,353.0,1.0,,1015.8,
2021-12-08,42.6,30.0,46.9,0.059,,306.0,4.8,,1016.4,
2021-12-09,35.1,28.9,43.0,0.091,,350.0,1.9,,1017.3,
2021-12-10,40.1,33.1,45.0,0.122,,190.0,6.8,,1019.5,
2021-12-11,43.9,36.0,48.9,0.886,,175.0,13.0,,1004.8,
2021-12-12,39.7,37.0,43.0,0.362,,151.0,7.3,,1003.7,
2021-12-13,38.7,33.1,39.9,0.626,,159.0,6.3,,998.4,
2021-12-14,35.4,28.9,41.0,0.043,,141.0,3.6,,1009.8,
2021-12-15,38.8,36.0,41.0,0.449,,116.0,8.6,,1007.6,
2021-12-16,40.6,35.1,46.0,0.016,,16.0,2.1,,1016.2,
2021-12-17,38.3,34.0,42.1,0.126,,347.0,2.2,,1025.7,
2021-12-18,44.6,39.0,50.0,0.87,,171.0,9.7,,1016.3,
2021-12-19,35.6,32.0,39.9,0.764,,351.0,1.9,,1013.8,
2021-12-20,40.6,36.0,43.0,0.583,,26.0,2.9,,1016.1,
2021-12-21,38.5,33.1,42.1,0.134,,51.0,2.5,,1018.1,
2021-12-22,45.5,42.1,46.9,0.413,,157.0,10.5,,1005.8,
2021-12-23,42.4,39.0,46.9,0.157,,219.0,7.0,,1000.4,
2021-12-24,38.1,35.1,39.9,0.563,,180.0,12.1,,995.3,
2021-12-25,35.6,32.0,37.9,0.079,,185.0,8.4,,999.8,
2021-12-26,31.6,30.0,35.1,0.181,,190.0,8.6,,999.4,
2021-12-27,28.4,24.1,30.9,0.067,,28.0,2.9,,1008.5,
2021-12-28,32.2,30.0,34.0,0.102,,8.0,1.3,,1008.1,
2021-12-29,30.9,27.0,34.0,0.012,,53.0,4.6,,1011.4,
2021-12-30,34.0,27.0,42.1,0.272,,329.0,4.3,,1007.0,
2021-12-31,31.8,25.0,37.9,0.075,,25.0,3.0,,1015.4,
2022-01-01,26.2,21.9,32.0,0.0,,357.0,0.6,,1025.0,
2022-01-02,37.8,26.1,48.0,0.311,,158.0,8.8,,1011.5,
2022-01-03,39.0,34.0,45.0,1.449,,184.0,8.3,,1002.4,
2022-01-04,39.6,33.1,44.1,0.37,,169.0,5.5,,1015.9,
2022-01-05,39.2,37.9,41.0,0.622,,3.0,1.7,,1019.8,
2022-01-06,49.1,39.0,54.0,0.65,,187.0,10.9,,1007.2,
2022-01-07,44.8,39.0,48.9,0.524,,211.0,10.1,,1004.7,
2022-01-08,38.8,30.9,46.9,0.012,,332.0,2.9,,1023.1,
2022-01-09,36.5,27.0,54.0,0.0,,327.0,3.4,,1025.8,
2022-01-10,37.4,30.0,43.0,0.11,,324.0,2.5,,1028.8,
2022-01-11,45.3,41.0,48.9,0.102,,359.0,0.6,,1025.3,
2022-01-12,50.2,39.0,61.0,0.0,,49.0,4.0,,1020.9,
2022-01-13,47.5,41.0,50.0,0.197,,150.0,6.3,,1022.4,
2022-01-14,45.1,35.1,52.0,0.0,,9.0,1.9,,1030.4,
2022-01-15,37.4,35.1,43.0,0.0,,355.0,1.2,,1027.5,
2022-01-16,38.5,37.0,42.1,0.0,,352.0,1.2,,1022.9,
2022-01-17,38.1,37.0,39.9,0.0,,355.0,1.7,,1019.1,
2022-01-18,40.8,37.9,44.1,0.063,,339.0,2.1,,1021.6,
2022-01-19,46.8,42.1,52.0,0.323,,8.0,2.1,,1025.7,
2022-01-20,50.7,41.0,57.0,0.098,,231.0,6.5,,1027.9,
2022-01-21,40.6,33.1,46.0,0.0,,357.0,3.4,,1035.9,
2022-01-22,39.6,32.0,48.0,0.0,,338.0,2.7,,1031.9,
2022-01-23,36.3,26.1,54.0,0.0,,356.0,0.3,,1027.3,
2022-01-24,32.5,28.0,37.9,0.0,,349.0,1.1,,1025.4,
2022-01-25,35.6,27.0,51.1,0.0,,353.0,3.5,,1024.9,
2022-01-26,33.3,23.0,48.9,0.0,,5.0,2.5,,1024.6,
2022-01-27,33.8,24.1,46.9,0.0,,352.0,6.2,,1029.0,
2022-01-28,33.4,24.1,50.0,0.0,,328.0,2.5,,1028.2,
2022-01-29,33.1,21.9,51.1,0.0,,351.0,1.7,,1025.2,
2022-01-30,39.0,30.9,48.9,0.193,,317.0,3.9,,1020.6,
2022-01-31,38.7,28.9,46.9,0.004,,316.0,4.2,,1027.4,
2022-02-01,36.9,30.0,45.0,0.035,,346.0,0.9,,1029.3,
2022-02-02,41.0,39.0,44.1,0.039,,23.0,1.7,,1028.8,
2022-02-03,41.7,33.1,48.9,0.016,,359.0,2.2,,1030.5,
2022-02-04,38.7,32.0,45.0,0.004,,4.0,2.2,,1031.6,
2022-02-05,42.4,33.1,48.9,0.012,,350.0,2.4,,1034.6,
2022-02-06,37.9,27.0,55.9,0.0,,0.0,0.7,,1028.9,
2022-02-07,40.1,30.9,53.1,0.0,,352.0,1.6,,1031.8,
2022-02-08,40.6,30.9,51.1,0.0,,6.0,1.1,,1036.3,
2022-02-09,45.1,37.0,59.0,0.0,,4.0,2.5,,1034.9,
2022-02-10,44.1,36.0,52.0,0.0,,5.0,1.6,,1030.6,
2022-02-11,48.6,34.0,66.0,0.0,,20.0,5.8,,1027.0,
2022-02-12,44.8,30.9,63.0,0.0,,355.0,6.0,,1023.9,
2022-02-13,43.0,28.0,59.0,0.0,,344.0,1.4,,1021.6,
2022-02-14,44.8,39.9,48.9,0.228,,258.0,6.9,,1015.7,
2022-02-15,41.5,32.0,48.0,0.0,,333.0,1.5,,1023.6,
2022-02-16,45.5,41.0,51.1,0.031,,2.0,2.1,,1027.7,
2022-02-17,45.5,39.9,50.0,0.0,,339.0,1.9,,1032.0,
2022-02-18,45.3,36.0,59.0,0.0,,2.0,1.6,,1029.5,
2022-02-19,41.4,33.1,48.9,0.0,,162.0,4.2,,1022.1,
2022-02-20,42.1,36.0,48.9,0.13,,282.0,4.7,,1016.6,
2022-02-21,37.0,34.0,44.1,0.209,,354.0,2.6,,1012.8,
2022-02-22,33.1,28.0,37.0,0.0,,79.0,12.8,,1022.6,
2022-02-23,29.3,23.0,37.9,0.0,,42.0,7.2,,1029.4,
2022-02-24,31.5,24.1,41.0,0.004,,20.0,3.7,,1030.4,
2022-02-25,32.9,19.9,50.0,0.0,,353.0,3.0,,1029.1,
2022-02-26,35.4,27.0,42.1,0.386,,348.0,2.2,,1023.3,
2022-02-27,48.0,39.9,52.0,0.335,,149.0,6.8,,1020.9,
2022-02-28,54.7,52.0,57.0,1.787,,169.0,12.2,,1015.2,
2022-03-01,53.8,50.0,57.9,0.346,,157.0,8.3,,1019.0,
2022-03-02,50.5,46.9,53.1,0.327,,159.0,3.5,,1018.0,
2022-03-03,44.2,37.0,53.1,0.035,,327.0,5.4,,1020.7,
2022-03-04,42.3,37.0,50.0,0.043,,318.0,4.8,,1019.0,
2022-03-05,43.0,30.0,55.9,0.0,,349.0,4.0,,1024.0,
2022-03-06,40.6,30.0,53.1,0.0,,358.0,1.7,,1030.9,
2022-03-07,38.8,30.0,51.1,0.0,,358.0,1.2,,1033.6,
2022-03-08,42.8,32.0,51.1,0.004,,321.0,3.0,,1026.4,
2022-03-09,43.9,35.1,51.1,0.031,,44.0,6.5,,1022.5,
2022-03-10,37.9,25.0,50.0,0.0,,344.0,2.5,,1027.6,
2022-03-11,41.9,30.0,57.9,0.0,,355.0,1.0,,1025.2,
2022-03-12,43.0,28.9,57.0,0.169,,44.0,5.3,,1013.0,
2022-03-13,,,,,,,,,,
2022-03-14,48.2,45.0,54.0,0.283,,149.0,6.2,,1020.0,
2022-03-15,49.5,45.0,57.0,0.252,,212.0,8.9,,1020.7,
2022-03-16,44.1,34.0,55.0,0.0,,346.0,1.9,,1027.1,
2022-03-17,42.8,35.1,50.0,0.0,,7.0,1.8,,1021.9,
2022-03-18,50.0,44.1,55.9,0.0,,164.0,5.0,,1018.0,
2022-03-19,46.9,35.1,53.1,0.256,,295.0,8.1,,1016.0,
2022-03-20,41.5,34.0,48.9,0.067,,234.0,4.1,,1026.8,
2022-03-21,45.9,42.1,50.0,0.567,,142.0,6.9,,1027.9,
2022-03-22,54.9,50.0,66.0,0.012,,344.0,2.4,,1027.1,
2022-03-23,50.9,43.0,59.0,0.087,,283.0,5.5,,1022.8,
2022-03-24,45.9,30.9,63.0,0.0,,343.0,2.3,,1021.9,
2022-03-25,50.2,41.0,60.1,0.0,,352.0,1.9,,1017.9,
2022-03-26,53.2,46.0,62.1,0.012,,3.0,2.9,,1012.9,
2022-03-27,55.6,45.0,68.0,0.0,,350.0,1.8,,1004.7,
2022-03-28,54.1,46.9,60.1,0.016,,314.0,6.2,,1008.1,
2022-03-29,49.6,42.1,59.0,0.0,,337.0,3.1,,1017.5,
2022-03-30,48.4,41.0,57.0,0.004,,298.0,6.3,,1023.4,
2022-03-31,45.5,39.0,53.1,0.0,,331.0,3.5,,1023.8,
2022-04-01,46.2,35.1,57.9,0.028,,329.0,3.0,,1020.3,
2022-04-02,48.2,39.9,57.0,0.024,,302.0,3.3,,1023.7,
2022-04-03,47.1,41.0,54.0,0.122,,200.0,7.3,,1016.0,
2022-04-04,46.9,42.1,52.0,0.807,,233.0,13.7,,1008.4,
2022-04-05,44.1,36.0,54.0,0.067,,300.0,5.8,,1027.6,
2022-04-06,47.3,30.0,64.9,0.0,,31.0,5.2,,1029.2,
2022-04-07,56.1,37.0,78.1,0.0,,318.0,3.8,,1021.9,
2022-04-08,50.9,43.0,60.1,0.075,,283.0,8.2,,1025.3,
2022-04-09,43.5,35.1,52.0,0.165,,299.0,7.1,,1028.2,
2022-04-10,40.3,33.1,44.1,0.602,,184.0,5.2,,1017.3,
2022-04-11,39.0,32.0,50.0,0.539,,292.0,9.9,,1003.3,
2022-04-12,39.0,34.0,44.1,0.268,,195.0,7.1,,1015.4,
2022-04-13,40.5,35.1,48.9,0.173,,193.0,7.6,,1014.8,
2022-04-14,37.8,30.0,48.0,0.173,,343.0,3.5,,1014.3,
2022-04-15,40.5,32.0,52.0,0.0,,351.0,2.4,,1018.1,
2022-04-16,42.8,34.0,53.1,0.0,,272.0,7.1,,1014.6,
2022-04-17,45.1,32.0,57.0,0.0,,343.0,3.5,,1022.1,
2022-04-18,46.2,42.1,50.0,0.512,,167.0,5.4,,1009.1,
2022-04-19,44.1,41.0,48.0,0.169,,144.0,3.8,,1011.7,
2022-04-20,45.1,39.0,53.1,0.362,,122.0,6.5,,1005.8,
